coverage	n
486	0
487	0
488	0
489	1
490	0
491	1
492	0
493	0
494	0
495	2
496	0
497	0
498	3
499	8
500	6
501	6
502	5
503	6
504	2
505	0
506	3
507	2
508	1
509	1
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	1
582	0
583	0
584	1
585	0
586	1
587	0
588	0
589	1
590	2
591	0
592	1
593	1
594	0
595	1
596	0
597	0
598	3
599	3
600	0
601	1
602	2
603	1
604	1
605	2
606	2
607	2
608	1
609	2
610	2
611	1
612	0
613	2
614	0
615	0
616	1
617	3
618	0
619	0
620	1
621	0
622	0
623	1
624	0
625	0
626	0
627	1
628	0
629	1
630	1
631	1
632	2
633	0
634	1
635	2
636	2
637	0
638	1
639	0
640	1
641	1
642	1
643	2
644	2
645	2
646	4
647	2
648	1
649	1
650	0
651	0
652	2
653	1
654	0
655	3
656	1
657	3
658	3
659	1
660	2
661	1
662	2
663	5
664	5
665	8
666	3
667	3
668	5
669	3
670	1
671	4
672	3
673	0
674	2
675	6
676	4
677	5
678	1
679	4
680	3
681	3
682	8
683	9
684	6
685	6
686	6
687	5
688	3
689	6
690	2
691	6
692	3
693	3
694	1
695	2
696	2
697	1
698	1
699	1
700	0
701	2
702	2
703	1
704	1
705	0
706	0
707	3
708	0
709	0
710	4
711	0
712	1
713	0
714	1
715	4
716	1
717	3
718	1
719	0
720	1
721	0
722	0
723	1
724	0
725	0
726	1
727	0
728	0
729	1
730	0
731	0
732	2
733	0
734	1
735	0
736	0
737	0
738	1
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	1
748	1
749	0
750	1
751	1
752	2
753	0
754	3
755	1
756	3
757	3
758	1
759	3
760	1
761	0
762	0
763	0
764	0
765	1
766	0
767	1
768	0
769	1
770	0
771	0
772	0
773	1
774	0
775	0
776	0
777	2
778	1
779	2
780	0
781	1
782	1
783	1
784	2
785	0
786	2
787	1
788	2
789	2
790	2
791	2
792	2
793	1
794	2
795	4
796	0
797	1
798	3
799	3
800	1
801	1
802	2
803	2
804	2
805	0
806	0
807	7
808	3
809	1
810	2
811	0
812	2
813	3
814	3
815	3
816	2
817	3
818	2
819	1
820	0
821	0
822	1
823	5
824	0
825	2
826	0
827	0
828	2
829	1
830	3
831	2
832	5
833	0
834	0
835	1
836	0
837	3
838	2
839	3
840	3
841	4
842	1
843	1
844	0
845	2
846	4
847	2
848	1
849	4
850	4
851	5
852	5
853	3
854	2
855	6
856	0
857	4
858	0
859	4
860	4
861	3
862	2
863	2
864	2
865	1
866	2
867	0
868	0
869	1
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	0
1011	0
1012	0
1013	0
1014	0
1015	0
1016	0
1017	0
1018	0
1019	0
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	0
1036	0
1037	0
1038	0
1039	0
1040	0
1041	0
1042	0
1043	0
1044	0
1045	0
1046	0
1047	0
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	0
1055	0
1056	0
1057	0
1058	0
1059	0
1060	0
1061	0
1062	0
1063	0
1064	0
1065	0
1066	0
1067	0
1068	0
1069	0
1070	0
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
1077	0
1078	0
1079	0
1080	0
1081	0
1082	0
1083	0
1084	0
1085	0
1086	1
1087	0
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	0
1095	0
1096	0
1097	0
1098	0
1099	0
1100	0
1101	0
1102	0
1103	0
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	0
1111	0
1112	0
1113	0
1114	0
1115	0
1116	0
1117	0
1118	0
1119	0
1120	0
1121	0
1122	0
1123	0
1124	0
1125	0
1126	0
1127	0
1128	0
1129	0
1130	0
1131	0
1132	0
1133	0
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	0
1192	0
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	0
1203	0
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	0
1214	0
1215	0
1216	0
1217	0
1218	0
1219	0
1220	0
1221	0
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	0
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	0
1237	0
1238	0
1239	0
1240	0
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	0
1248	0
1249	3
1250	0
1251	1
1252	1
