coverage	n
1	6777
2	553
3	49
4	170
5	112
6	86
7	53
8	212
9	206
10	236
11	171
12	95
13	132
14	90
15	271
16	189
17	243
18	151
19	147
20	210
21	267
22	372
23	175
24	102
25	163
26	128
27	140
28	225
29	172
30	371
31	132
32	251
33	159
34	153
35	165
36	239
37	306
38	160
39	145
40	159
41	170
42	146
43	208
44	212
45	160
46	153
47	166
48	161
49	128
50	235
51	174
52	218
53	186
54	145
55	188
56	202
57	151
58	186
59	301
60	304
61	222
62	191
63	266
64	163
65	225
66	215
67	233
68	288
69	196
70	270
71	146
72	210
73	201
74	233
75	198
76	227
77	267
78	205
79	263
80	242
81	217
82	223
83	220
84	294
85	236
86	257
87	275
88	301
89	261
90	278
91	348
92	362
93	349
94	396
95	460
96	509
97	555
98	604
99	655
100	716
101	884
102	1020
103	1192
104	1470
105	1632
106	1909
107	2298
108	2520
109	3137
110	3564
111	4127
112	4797
113	5515
114	6310
115	7159
116	8086
117	9218
118	10161
119	11466
120	12792
121	13862
122	15434
123	16809
124	18266
125	19998
126	21839
127	23336
128	25051
129	27489
130	29060
131	31012
132	32288
133	33703
134	35564
135	36388
136	37764
137	39215
138	40309
139	41272
140	42018
141	43069
142	43708
143	44590
144	45086
145	45950
146	46022
147	46069
148	46103
149	45822
150	46127
151	46048
152	46301
153	45043
154	45262
155	45439
156	44782
157	44365
158	43620
159	43065
160	43139
161	42766
162	42501
163	41263
164	40992
165	40633
166	39604
167	38657
168	37867
169	36995
170	35635
171	34803
172	33661
173	32492
174	31491
175	30210
176	29149
177	28044
178	26920
179	25337
180	24321
181	22845
182	21763
183	20881
184	19295
185	18121
186	17150
187	15933
188	14787
189	13475
190	12503
191	11434
192	10741
193	9752
194	8891
195	7918
196	7067
197	6569
198	6063
199	5328
200	4757
201	4376
202	3858
203	3363
204	2965
205	2661
206	2232
207	1955
208	1820
209	1480
210	1279
211	1165
212	909
213	797
214	681
215	572
216	510
217	452
218	388
219	320
220	269
221	295
222	218
223	198
224	147
225	158
226	118
227	94
228	87
229	88
230	79
231	91
232	84
233	68
234	62
235	55
236	51
237	51
238	45
239	39
240	30
241	40
242	37
243	41
244	36
245	38
246	29
247	26
248	19
249	23
250	20
251	20
252	23
253	21
254	30
255	16
256	29
257	23
258	26
259	17
260	15
261	20
262	20
263	18
264	12
265	12
266	8
267	15
268	11
269	13
270	16
271	15
272	16
273	34
274	18
275	27
276	20
277	20
278	26
279	19
280	25
281	18
282	14
283	13
284	14
285	19
286	24
287	21
288	15
289	23
290	32
291	41
292	38
293	57
294	35
295	37
296	29
297	21
298	22
299	23
300	24
301	27
302	25
303	17
304	21
305	16
306	14
307	21
308	29
309	29
310	19
311	29
312	33
313	46
314	50
315	44
316	33
317	34
318	35
319	42
320	27
321	39
322	48
323	43
324	42
325	29
326	41
327	37
328	28
329	48
330	31
331	43
332	56
333	36
334	49
335	37
336	37
337	42
338	30
339	25
340	31
341	35
342	24
343	30
344	24
345	28
346	27
347	32
348	23
349	29
350	32
351	30
352	20
353	26
354	29
355	22
356	21
357	12
358	15
359	10
360	19
361	11
362	5
363	6
364	6
365	9
366	5
367	9
368	6
369	3
370	3
371	4
372	4
373	2
374	1
375	1
376	2
377	0
378	2
379	0
380	1
381	0
382	1
383	2
384	5
385	2
386	0
387	1
388	0
389	0
390	2
391	3
392	0
393	1
394	1
395	3
396	1
397	1
398	4
399	3
400	4
401	2
402	1
403	4
404	3
405	0
406	3
407	4
408	3
409	2
410	1
411	4
412	1
413	2
414	4
415	1
416	1
417	2
418	3
419	3
420	3
421	4
422	2
423	2
424	5
425	3
426	3
427	3
428	0
429	1
430	3
431	2
432	1
433	1
434	2
435	4
436	3
437	1
438	3
439	3
440	2
441	5
442	1
443	5
444	8
445	7
446	2
447	2
448	4
449	1
450	2
451	2
452	1
453	4
454	2
455	2
456	4
457	0
458	3
459	3
460	5
461	1
462	1
463	1
464	1
465	2
466	1
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	1
478	0
479	1
480	0
481	0
482	1
483	1
484	0
485	0
